"Date","n_stem","including_n_recruits"
2023-04-04,8,0
2023-04-06,13,0
2023-04-10,154,0
2023-04-11,149,0
2023-04-13,89,13
2023-04-14,120,21
2023-04-18,272,32
2023-04-20,78,6
2023-04-25,205,33
2023-04-26,161,14
2023-04-27,382,28
2023-05-01,181,22
2023-05-02,280,36
2023-05-03,521,117
2023-05-04,416,56
2023-05-05,235,37
2023-05-08,370,42
2023-05-09,189,0
2023-05-10,276,39
2023-05-11,256,27
2023-05-12,361,27
2023-05-15,160,24
2023-05-16,446,35
2023-05-17,194,9
2023-05-19,241,56
2023-05-22,77,23
2023-05-23,208,34
2023-05-24,130,36
2023-05-25,338,58
2023-05-26,396,38
2023-05-30,41,13
2023-05-31,631,60
2023-06-01,351,16
2023-06-02,463,30
2023-06-05,91,5
2023-06-07,455,28
2023-06-08,15,0
2023-06-09,553,60
2023-06-12,50,3
2023-06-13,18,0
2023-06-14,37,0
2023-06-15,203,0
2023-06-16,286,12
2023-06-22,246,27
2023-06-26,404,71
2023-06-27,438,59
2023-06-28,362,81
2023-06-29,416,52
2023-06-30,681,46
2023-07-05,691,59
2023-07-06,1017,54
2023-07-07,979,34
2023-07-10,573,31
2023-07-11,864,51
2023-07-12,1262,63
2023-07-13,1058,33
2023-07-14,1159,14
2023-07-17,365,5
2023-07-18,989,18
2023-07-19,730,100
2023-07-20,616,100
2023-07-21,720,80
2023-07-24,569,94
2023-07-25,983,66
2023-07-26,902,32
2023-07-27,617,15
2023-07-28,803,23
2023-07-31,719,22
2023-08-01,645,7
2023-08-02,1038,33
2023-08-03,1140,54
2023-08-04,1137,19
2023-08-07,690,15
2023-08-08,883,15
2023-08-09,873,5
2023-08-10,1114,15
2023-08-11,1051,19
2023-08-14,371,7
2023-08-15,40,0
2023-08-16,1256,23
2023-08-17,751,46
2023-08-18,606,17
2023-08-21,599,32
2023-08-22,887,85
2023-08-23,1031,150
2023-08-24,545,100
2023-08-25,796,111
2023-08-28,587,23
2023-08-29,603,31
NA,78,14
