"quadrat","nError","nWarnings","nMissingStems"
"0103",242,2,242
"0410",241,0,241
"0102",157,5,157
"0109",131,1,131
"1010",77,0,77
"0810",73,0,73
"0710",71,0,71
"0310",46,0,46
"0716",41,0,41
"0713",38,0,38
"0718",27,0,27
"0126",17,0,0
"0719",13,0,13
"0130",11,0,11
"0132",10,3,10
"0712",9,0,9
"0101",8,26,8
"0128",5,3,5
"0327",5,1,0
"0611",4,0,4
"0226",4,0,1
"0317",3,2,3
"0624",3,0,0
"0122",2,0,0
"0613",2,1,2
"0330",2,0,2
"0332",2,1,2
"0229",2,0,2
"1028",2,0,0
"0416",2,4,0
"0621",2,0,0
"0630",2,0,0
"0521",1,0,1
"0131",1,0,1
"0232",1,3,1
"0817",1,0,1
"0818",1,0,1
"0819",1,0,1
"0822",1,0,1
"0123",1,4,1
"0217",1,2,1
"0224",1,6,1
"0620",1,0,0
"0923",1,1,0
"0119",0,2,0
"0125",0,2,0
"0127",0,4,0
"0129",0,2,0
"0213",0,1,0
"0231",0,4,0
"0511",0,2,0
"0513",0,2,0
"0512",0,2,0
"0816",0,2,0
"0517",0,1,0
"0519",0,1,0
"1015",0,1,0
"1017",0,2,0
"1024",0,2,0
"1116",0,2,0
"1120",0,1,0
"0120",0,1,0
"0124",0,1,0
"0214",0,1,0
"0313",0,1,0
"0315",0,2,0
"0318",0,1,0
"0319",0,1,0
"0322",0,1,0
"0323",0,1,0
"0325",0,1,0
"0411",0,1,0
"0417",0,1,0
"0420",0,5,0
"0430",0,1,0
"0515",0,5,0
"0516",0,1,0
"0523",0,1,0
"0616",0,2,0
"0722",0,1,0
"0912",0,1,0
"0915",0,2,0
"0919",0,1,0
"0924",0,1,0
"0925",0,1,0
"0223",0,1,0
"0227",0,1,0
"0320",0,1,0
"0324",0,1,0
"0414",0,2,0
"0914",0,4,0
"1115",0,1,0
