"tag","table","OBJECTID","quadrat","StemTag","lx","ly","dbh_previous","hom","codes_previous","status_previous","status_2022","comment_2022","mortality","census_status","dbh_current","status_current","codes_current","code_choices","notes_current","DBH check","living_status","crown_position","crown_intact","crown_living","fad","fad_choices","liana_load","lean_angle","wounded_main_stem","rotting_trunk","canker_swelling_deformity","dead_with_resprout","crown_check","GlobalID","CreationDate","Creator","EditDate","Editor","species","dbh_previous_mm","numeric_tag","hom_alert","lean_direction","sp","tree_type","NAD83_X","NAD83_Y","personnel_list","personnel","date_measured","multi stemmed","x","y","dbh_if_dead","mort_status"
10651,"old_trees",3133,"0114",1,3.3,5.8,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e5fe661b-17d7-4b91-9f56-c24ae5b03500","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:29:04 PM","shuej21","cato",NA,NA,NA,NA,"cato","1",747382.653740282,4308772.24301031,"CT","DM,RH,CT","4/13/2023 3:29:01 PM",0,-78.1476580407717,38.8930131041669,NA,"DN"
10652,"old_trees",3134,"0114",1,5.3,6,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"430934e0-5b23-4746-bf89-96c6b6809046","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:28:36 PM","shuej21","caca",NA,NA,NA,NA,"caca","1",747384.648561912,4308772.48936506,"RH","CT,DM,RH","4/13/2023 3:28:32 PM",0,-78.1476349765338,38.8930147605146,NA,"DN"
10653,"old_trees",3135,"0114",1,5.8,4.1,165,1.3,"NULL","A","DS","",1,2,159,"DS","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e47015bb-40fb-4ad6-a920-b6abb0932532","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:55:18 PM","shuej21","caovl",165,NA,NA,NA,"caovl","1",747385.192505765,4308770.60148607,"CT","RH,DM,CT","4/14/2023 2:55:01 PM",0,-78.1476293926088,38.8929976153119,159,"DS"
10654,"old_trees",3136,"0114",1,3,7.6,NA,NA,"DC","D","","",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2da13665-65da-4749-8dd3-7465cf43f43e","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:29:44 PM","shuej21","quru",NA,NA,NA,NA,"quru","1",747382.312061834,4308774.03558607,"DM","RH,CT,DM","4/13/2023 3:29:38 PM",0,-78.1476613286036,38.8930293341442,NA,"DN"
10655,"old_trees",3137,"0114",1,11.6,4.9,90,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,105,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beb0d5e7-5ecc-4243-9d7d-369288613368","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:55:21 PM","shuej21","fagr",90,NA,NA,NA,"fagr","1",747390.972385784,4308771.53580666,"RH","DM,CT,RH","4/13/2023 3:55:15 PM",0,-78.1475624905983,38.8930043966212,NA,"LI"
10656,"old_trees",3138,"0114",1,8,0.4,85,1.3,"M","A","","stem not sampled, info automatically filled from previous year info",0,1,84,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34e87b5a-b50e-4980-9e56-d6e9e2064db4","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:23:52 PM","shuej21","caca",85,NA,NA,NA,"caca","1",747387.477751501,4308766.95350034,"RH","DM,CT,RH","4/13/2023 3:23:46 PM",1,-78.1476043880128,38.8929641387353,NA,"LI"
10657,"old_trees",3139,"0114",1,16.1,1.1,NA,NA,"DS","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DC","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2e1eb88d-6ae2-46b5-b4e7-cb5c7197b470","3/30/2023 4:12:53 PM","shuej21","4/13/2023 4:03:38 PM","shuej21","cato",NA,NA,NA,NA,"cato","1",747395.559331501,4308767.8412462,"DM","CT,RH,DM","4/13/2023 4:03:34 PM",0,-78.1475109955911,38.8929698531031,NA,"DC"
10658,"old_trees",3140,"0114",1,15.8,3,88,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,87,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6f087d68-f10f-4da2-8551-3b270598062e","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:58:11 PM","shuej21","caovl",88,NA,NA,NA,"caovl","1",747395.21533382,4308769.73376505,"DM","CT,RH,DM","4/13/2023 3:58:05 PM",0,-78.1475142753381,38.8929869836298,NA,"LI"
10659,"old_trees",3141,"0114",1,16.3,3.7,75,1.25,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,74,"LI","A","A","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7f667eb-7c0b-44ed-8419-24e1161baa02","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:59:27 PM","shuej21","fagr",75,NA,NA,NA,"fagr","1",747395.698959514,4308770.44518629,"DM","RH,CT,DM","4/13/2023 3:59:22 PM",0,-78.1475084479682,38.8929932503486,NA,"LI"
10660,"old_trees",3142,"0114",1,17.3,1.4,NA,NA,"DN","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0a02fee4-0f23-490c-8c9f-fec95d985f56","3/30/2023 4:12:53 PM","shuej21","4/13/2023 4:01:10 PM","shuej21","unk",NA,NA,NA,NA,"unk","1",747396.752049209,4308768.16898461,"DM","RH,CT,DM","4/13/2023 4:01:05 PM",0,-78.1474971408786,38.8929724673243,NA,"DN"
10661,"old_trees",3143,"0114",1,17.7,4.3,NA,NA,"DN","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"338a3f31-8e8c-40c9-b6a1-e1a1be97e126","3/30/2023 4:12:53 PM","shuej21","4/13/2023 4:01:26 PM","shuej21","casp",NA,NA,NA,NA,"casp","1",747397.084663607,4308771.07748382,"CT","DM,RH,CT","4/13/2023 4:01:18 PM",0,-78.1474922621281,38.8929985508047,NA,"DN"
10662,"old_trees",3144,"0114",1,17.5,5,95,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",0,1,104,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3d34671c-55a4-4af8-b5e4-75fff260ed40","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:51:29 PM","shuej21","fagr",95,NA,NA,NA,"fagr","1",747396.868477698,4308771.77266556,"CT","RH,DM,CT","4/13/2023 3:49:25 PM",0,-78.1474945016271,38.8930048692618,NA,"LI"
10663,"old_trees",3145,"0114",1,20,3.3,295,1.3,"NULL","A","A","",1,2,304,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f65d3b6d-d895-4012-ba25-5a4d44d48003","3/30/2023 4:12:53 PM","shuej21","5/4/2023 4:48:05 PM","MitreDS@SI.EDU_SI","caovl",295,NA,NA,NA,"caovl","1",747399.407243877,4308770.13111133,"DM","DM","5/4/2023 4:48:03 PM",0,-78.1474704447522,38.8929889532084,NA,"LI"
10664,"old_trees",3146,"0114",1,16.8,9.7,164,1.3,"NULL","A","A","",1,2,174,"LI","RT","RT","Tag replaced","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fb5e1ef9-0524-4144-9a67-b0e0e80d701d","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:53:28 PM","shuej21","fagr",164,NA,NA,NA,"fagr","1",747396.059629192,4308776.4551711,"CT","DM,RH,CT","4/14/2023 2:53:08 PM",0,-78.1475021301154,38.8930472407355,NA,"LI"
10665,"old_trees",3147,"0114",1,13.4,8,NA,NA,"DN","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03b264f9-fee3-4590-87e2-ee8479e3fa9b","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:52:45 PM","shuej21","unk",NA,NA,NA,NA,"unk","1",747392.699983296,4308774.67674105,"DM","RH,CT,DM","4/13/2023 3:52:39 PM",0,-78.1475414628389,38.8930321797864,NA,"DN"
10666,"old_trees",3148,"0114",1,13.1,9.5,NA,NA,"DC","D","","stem not sampled, info automatically filled from previous year info",0,1,0,"DN","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"612822ff-92e4-447f-84fa-555c7267b5be","3/30/2023 4:12:53 PM","shuej21","4/13/2023 3:52:10 PM","shuej21","qupr",NA,NA,NA,NA,"qupr","1",747392.3652651,4308776.16937755,"RH","CT,DM,RH","4/13/2023 3:52:05 PM",0,-78.147544779417,38.8930457088426,NA,"DN"
10667,"old_trees",3149,"0114",1,11.6,7.5,127,1.3,"NULL","A","A","",1,2,134,"LI","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0b6b3fd9-79d8-41f5-b5d3-ac00ed706ed1","3/30/2023 4:12:53 PM","shuej21","4/14/2023 2:55:48 PM","shuej21","fagr",127,NA,NA,NA,"fagr","1",747390.912067393,4308774.13511689,"CT","RH,DM,CT","4/14/2023 2:55:39 PM",0,-78.1475622489501,38.8930278085381,NA,"LI"
