"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","hom","ExactDate","DFstatus","codes","date","status"
43,43,20216,1,"libe","0204",34.1,67.1,236800,"3","NULL","NULL",2018-08-29,"stem dead","DT;TR","21425","D"
60,60,20427,1,"libe","0204",23.3,76.4,236982,"3","NULL","NULL",2018-08-29,"stem dead","DC;TR","21425","D"
67,67,20482,1,"libe","0205",23,96.6,237336,"3","NULL","NULL",2018-08-28,"stem dead","DT;TR","21424","D"
191,191,80132,1,"libe","0802",150.60001,24.7,229590,"3","NULL","NULL",2018-06-29,"stem dead","F;DC;TR","21364","D"
232,232,91342,1,"libe","0907",170.2,135.7,244493,"3","NULL","NULL",2018-06-21,"stem dead","F;DT;TR","21356","D"
252,252,100099,1,"libe","1001",194.60001,15.4,231611,"3","NULL","NULL",2018-06-27,"stem dead","F;DC;TR","21362","D"
307,307,100846,1,"libe","1006",200,111.8,245904,"3","NULL","NULL",2018-07-30,"stem dead","F;DT;TR","21395","D"
311,311,100851,1,"libe","1006",195.10001,114,245923,"3","NULL","NULL",2018-07-30,"stem dead","F;DT;TR","21395","D"
342,342,110180,1,"libe","1102",217.7,20.9,228909,"3","NULL","NULL",2018-06-08,"stem dead","F;DC;TR","21343","D"
356,356,110481,1,"libe","1102",219.60001,37.5,229231,"3","NULL","NULL",2018-06-08,"stem dead","F;DC;TR","21343","D"
362,362,110498,1,"libe","1102",212.7,37.2,229273,"3","NULL","NULL",2018-06-08,"stem dead","F;DC;TR","21343","D"
383,383,110731,1,"libe","1103",205,57,222258,"3","NULL","NULL",2018-06-12,"stem dead","F;DC;TR","21347","D"
420,420,120004,1,"libe","1201",226.2,4,209668,"3","NULL","NULL",2018-05-30,"stem dead","DC;TR","21334","D"
424,424,120084,1,"libe","1201",232.5,19,209783,"3","NULL","NULL",2018-05-30,"stem dead","F;DC;TR","21334","D"
491,31675,121031,2,"libe","1206",227.39999,103.8,247207,"3","NULL","NULL",2018-08-01,"stem dead","F;DC;TR","21397","D"
496,496,121124,1,"libe","1208",238,141.89999,247585,"3","NULL","NULL",2018-08-01,"stem dead","F;DC;TR","21397","D"
497,36718,121134,3,"libe","1208",233.3,144.8,247599,"3","NULL","NULL",2018-08-01,"stem dead","F;DC;TR","21397","D"
499,499,121146,1,"libe","1208",235.3,148.60001,247617,"3","NULL","NULL",2018-08-01,"stem dead","F;DC;TR","21397","D"
523,523,130281,1,"libe","1301",257.39999,18.4,211407,"3","NULL","NULL",2018-05-23,"stem dead","DC;TR","21327","D"
570,570,130900,1,"libe","1305",252.89999,97,212026,"3","NULL","NULL",2018-05-25,"stem dead","F;DC;TR","21329","D"
591,591,140278,1,"libe","1402",260.29999,25.3,216462,"3","NULL","NULL",2018-05-15,"stem dead","DC;TR","21319","D"
595,595,140374,1,"libe","1402",274.10001,30.6,216579,"3","NULL","NULL",2018-05-15,"stem dead","DC;TR","21319","D"
660,660,150329,1,"libe","1502",297.20001,20.9,214508,"3","NULL","NULL",2018-04-04,"stem dead","DT;TR","21278","D"
661,661,150341,1,"libe","1502",292.60001,20.9,214529,"3","NULL","NULL",2018-04-04,"stem dead","DC;TR","21278","D"
677,677,150728,1,"libe","1503",289.29999,41.2,215110,"3","NULL","NULL",2018-04-10,"stem dead","DC;TR","21284","D"
710,710,160069,1,"libe","1601",305.39999,16.8,217029,"3","NULL","NULL",2018-04-11,"stem dead","DC;TR","21285","D"
723,723,160313,1,"libe","1602",318.70001,26.2,217518,"3","NULL","NULL",2018-04-12,"broken below","DC;TR;R","21286","D"
