OBJECTID,quadrat,tag,StemTag,lx,ly,dbh_2018,hom,codes_2018,status_2018,status_2022,comment_2022,mortality,census_status,dbh_2023,status_2023,codes_2023,code_choices,notes_2023,DBH check,living_status,crown_position,crown_intact,crown_living,fad,fad_choices,liana_load,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,crown_check,GlobalID,CreationDate,Creator,EditDate,Editor,species,dbh_2018_mm,numeric_tag,hom_alert,lean_direction
1,0101,10001,2,6.1,1,,,DN,stem dead,,"stem not sampled, info automatically filled from previous year info",0,0,,,,,,,,,,,,,,,,,,,,c22df6d0-bec7-4dfa-a359-f6674b6208a0,3/30/2023 4:12:54 PM,shuej21,4/4/2023 4:29:46 PM,shuej21,,,,,
2,0101,10003,2,7.4,2.4,1.9,1.3,J;S;L,alive,,,0,1,21,LI,M,M,,,,,,,,,,,,,,,,cb027c5a-5ab1-4928-94e2-e1a2342bf3bc,3/30/2023 4:12:54 PM,shuej21,4/10/2023 6:58:14 PM,shuej21,,19,,,
3,0101,10004,2,9.8,5.8,2.9,1.3,M,alive,,,0,1,0,DC,,,,,,,,,,,,,,,,,,e976b8d0-b4a2-48d8-a24f-33d306a3fbd7,3/30/2023 4:12:54 PM,shuej21,4/10/2023 7:46:40 PM,shuej21,,29,,,
4,0101,10004,3,9.8,5.8,2.3,1.3,S,alive,,,0,1,0,DN,,,,,,,,,,,,,,,,,,06c02e7c-73fe-4a11-a7bd-95d80f396a47,3/30/2023 4:12:54 PM,shuej21,4/10/2023 7:47:16 PM,shuej21,,23,,,
5,0101,10004,4,9.8,5.8,2.6,1.3,S,alive,,,0,1,0,DS,,,,,,,,,,,,,,,,,,15ba2d72-1b8b-4d8e-bac6-202f91c619fd,3/30/2023 4:12:54 PM,shuej21,4/10/2023 7:47:58 PM,shuej21,,26,,,
6,0101,10004,5,9.8,5.8,2.4,1.3,S,alive,,,0,1,38,LI,,,,,,,,,,,,,,,,,,b3faedfb-b4a1-439e-8e4a-3834438268ca,3/30/2023 4:12:54 PM,shuej21,4/10/2023 7:51:47 PM,shuej21,,24,,,
7,0101,10004,6,9.8,5.8,1.8,1.3,S,alive,,,0,1,0,DN,,,,,,,,,,,,,,,,,,d9962e96-d7f4-47af-80d1-aec3dee6adc4,3/30/2023 4:12:54 PM,shuej21,4/10/2023 7:52:25 PM,shuej21,,18,,,
8,0101,10005,2,7.2,6,1.4,1.3,L;S,alive,,,0,1,0,DS,,,,,,,,,,,,,,,,,,48fc698a-ef08-4ce3-94aa-aff5367dbeb6,3/30/2023 4:12:54 PM,shuej21,4/10/2023 6:33:00 PM,shuej21,,14,,,
9,0101,10015,2,15.6,5.1,3,0,S,alive,,,0,1,0,DS,,,,,,,,,,,,,,,,,,cf7e15a8-adc0-4c01-9836-d2fcaf6529fc,3/30/2023 4:12:54 PM,shuej21,4/11/2023 5:23:38 PM,shuej21,,30,,,
10,0101,10015,3,15.6,5.1,2.3,0,DS;WR,stem dead,,,0,1,0,DS,,,,,,,,,,,,,,,,,,469b4f57-d6ba-4b67-b686-4c13e8493898,3/30/2023 4:12:54 PM,shuej21,4/11/2023 5:30:14 PM,shuej21,,23,,,
11,0101,10015,4,15.6,5.1,2.3,0,S,alive,,,0,1,0,DN,,,,,,,,,,,,,,,,,,c94f1b88-058f-4817-b7e7-1c3d03a6ab19,3/30/2023 4:12:54 PM,shuej21,4/11/2023 5:35:33 PM,shuej21,,23,,,
