"tag","StemTag","quadrat","sp","lx","ly","dbh_current","status_current"
10010,1,"0101","juni",7.3,12.2,665,"LI"
10581,1,"0113","quru",16.3,6.4,887,"LI"
10619,1,"0111","fagr",4.3,8.3,262,"LI"
10664,1,"0114","fagr",16.8,9.7,174,"LI"
10671,1,"0114","quru",6.2,14.5,930,"LI"
10675,1,"0114","fagr",12.1,11.5,246,"LI"
10678,1,"0114","litu",18.9,19.3,690,"LI"
12038,1,"0118","cato",19.5,0.5,80,"LI"
12052,1,"0118","cofl",10.2,16.8,77,"LI"
12079,1,"0119","caca",7.9,11.5,108,"LI"
12137,1,"0121","caca",15.8,12.1,81,"LI"
12289,1,"0125","caca",4.4,19.6,92,"LI"
12304,1,"0126","frpe",3.1,4.9,76,"LI"
12427,1,"0130","litu",9.2,2.7,423,"LI"
12441,1,"0130","cato",16.8,8.5,80,"LI"
12490,1,"0131","litu",19.1,2.3,342,"LI"
12497,1,"0131","caca",12.1,9.4,68,"LI"
13138,1,"0127","libe",13.2,12.4,0,"DT"
13609,1,"0123","elum",9.5,4.9,0,"DN"
20676,1,"0211","litu",16.1,8.5,587,"LI"
20678,1,"0211","litu",14.4,6.7,454,"LI"
20693,1,"0211","fagr",16.1,19.8,319,"LI"
20712,1,"0212","litu",1.5,8.3,949,"LI"
20718,1,"0212","caca",11.3,14,109,"LI"
20734,1,"0213","litu",5.3,6.6,405,"LI"
20755,1,"0213","quru",2.1,7.3,588,"LI"
20760,1,"0213","caco",8.7,15.8,521,"LI"
20799,1,"0215","litu",11.6,0.4,690,"LI"
20811,1,"0215","caco",11,15.4,401,"LI"
20846,1,"0216","fagr",20,11.2,98,"LI"
22018,1,"0217","fagr",11.3,9.8,174,"LI"
22026,1,"0217","quru",19.6,11.6,764,"LI"
22041,1,"0217","litu",1.8,19,868,"LI"
22066,1,"0218","fagr",12.5,15.4,140,"LI"
22096,1,"0219","havi",10.5,7.5,0,"DN"
22097,1,"0219","litu",12.9,5,645,"LI"
22121,1,"0220","nysy",16.5,3.9,176,"LI"
22124,1,"0220","nysy",18.1,6.6,145,"LI"
22127,1,"0220","cagl",13.6,4.4,408,"LI"
22129,1,"0220","cato",9.9,4.3,0,"DC"
22138,1,"0220","quve",1,20,592,"LI"
22162,1,"0221","quve",4.2,12.1,535,"LI"
22178,1,"0222","tiam",6.3,2.5,344,"LI"
22186,1,"0222","tiam",17,7.5,380,"LI"
22198,1,"0222","tiam",16.1,10.9,0,"DS"
22207,1,"0222","fram",10.8,14.5,0,"DC"
22214,1,"0222","acru",6.4,20,462,"LI"
22247,1,"0223","acru",9.1,15.7,320,"LI"
22257,1,"0224","tiam",1.9,4.3,284,"LI"
22274,1,"0224","litu",11.3,2.9,734,"LI"
22291,1,"0224","caca",9.8,19.5,90,"LI"
22293,1,"0224","tiam",2.8,13.8,161,"LI"
30263,1,"0311","fagr",3.2,11.4,96,"LI"
30289,1,"0312","vipr",5.3,17,78,"LI"
30293,1,"0313","quru",0.6,1.8,552,"LI"
30447,1,"0313","fagr",15.7,3.7,200,"LI"
30464,1,"0313","litu",0.9,18.3,690,"LI"
30483,1,"0314","fagr",15.6,15.5,255,"LI"
30490,1,"0315","qual",15,6,483,"LI"
30491,1,"0315","fagr",13,3.6,182,"LI"
30512,1,"0313","quru",2.9,14.3,900,"LI"
30517,1,"0314","qual",8.2,1.8,775,"LI"
30541,1,"0315","fagr",4.4,1.3,325,"LI"
32015,1,"0317","cato",0.5,4.5,176,"LI"
32043,1,"0318","fagr",9.4,0.5,89,"LI"
32072,1,"0319","acru",0.5,8,227,"LI"
32087,1,"0319","caca",2,20,0,"DN"
32122,1,"0321","caca",3.6,2.8,127,"LI"
32139,1,"0321","cagl",19.6,16.2,303,"LI"
